record_id,city,state,zone_type,date,year,month,day_of_week,season,population,aqi,pm2_5,pm10,no2,so2,co,o3,nh3,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm,num_vehicles,num_industries,green_cover_pct,monitoring_stations,hospital_admissions,respiratory_cases,cardiovascular_cases,aqi_category,health_risk_score,data_source,data_quality_flag
15,Mumbai,Maharashtra,Industrial,2023-11-07,2023,11,Tuesday,Winter,12478447,124.1,44.42,78.34,147.11,108.52,6.37,103.39,20.58,37.8,57.1,14.8,0.3,4304666,9581,22.4,13,1336,640,222,,,CPCB,Auto
16,Jodhpur,Rajasthan,Tourist,2023-08-14,2023,8,Monday,Monsoon,1137815,102.1,43.97,72.26,74.04,42.39,10.6,115.81,10.65,30.2,15.7,18.1,23.4,333124,781,18.0,25,68,37,17,,,State PCB,Unverified
17,Patna,Bihar,Administrative,2023-11-12,2023,11,Sunday,Winter,1684222,130.6,76.04,100.71,153.03,71.63,6.81,91.23,1.02,26.1,80.6,4.3,0,436294,1959,36.8,8,138,74,39,,,Satellite,Manual Entry
18,Chennai,Tamil Nadu,Coastal,2022-08-29,2022,8,Monday,Monsoon,7088000,83.8,30.14,42.71,27.7,30.48,9.62,29.47,21.31,23.0,51.0,9.1,0,1569831,10519,9.3,16,150,93,39,,,Ground Sensor,Verified
19,Vadodara,Gujarat,Industrial,2022-09-13,2022,9,Tuesday,Monsoon,1670806,52.0,29.93,28.54,18.5,29.89,6.15,92.66,16.55,28.3,38.4,17.0,0,421955,3108,23.0,10,40,17,11,,,Satellite,Auto
20,Meerut,Uttar Pradesh,Industrial,2022-09-02,2022,9,Friday,Monsoon,1309023,94.9,36.62,57.79,33.88,34.13,1.88,50.06,35.0,31.2,58.0,9.9,0,328148,1060,32.8,21,41,27,9,,,CPCB,Manual Entry
21,Lucknow,Uttar Pradesh,Administrative,2023-02-04,2023,2,Saturday,Winter,2815601,234.8,130.57,206.97,78.53,85.49,11.79,98.42,11.81,29.6,81.0,17.3,1.7,831880,3115,29.9,3,230,124,38,,,CPCB,Verified
22,Meerut,Uttar Pradesh,Industrial,2023-03-15,2023,3,Wednesday,Summer,1309023,187.3,59.02,122.06,36.61,32.46,12.69,69.29,37.85,34.7,67.5,8.0,1.7,355663,2617,31.1,3,52,30,13,,,State PCB,Verified
23,Agra,Uttar Pradesh,Tourist,2022-06-06,2022,6,Monday,Monsoon,1585704,101.5,37.72,69.99,16.94,57.06,5.43,53.31,19.08,11.8,28.2,9.9,0,329573,1532,41.3,15,54,36,12,,,State PCB,Verified
24,Coimbatore,Tamil Nadu,Industrial,2023-12-09,2023,12,Saturday,Winter,1061447,209.9,106.85,130.24,119.38,91.58,16.86,93.57,3.01,22.8,31.2,10.2,6.2,193343,1199,40.7,17,107,56,21,,,Ground Sensor,Unverified
25,Amritsar,Punjab,Tourist,2023-06-19,2023,6,Monday,Monsoon,1132761,122.5,72.24,74.49,74.18,34.02,5.63,76.62,36.82,26.2,98.8,13.2,0,373672,980,6.1,13,67,39,13,,,State PCB,Manual Entry
26,Faridabad,Haryana,Industrial,2022-09-22,2022,9,Thursday,Monsoon,1394000,51.8,26.44,31.63,8.34,57.08,1.31,113.61,24.94,41.9,61.6,2.8,0,438829,891,28.3,18,31,18,6,,,Satellite,Auto
27,Amritsar,Punjab,Tourist,2023-07-18,2023,7,Tuesday,Monsoon,1132761,59.5,23.74,46.45,29.85,17.89,1.69,45.04,6.86,14.8,52.4,13.7,14.6,297138,1797,9.0,9,32,17,6,,,Satellite,Unverified
28,Lucknow,Uttar Pradesh,Administrative,2022-01-15,2022,1,Saturday,Winter,2815601,171.6,53.81,89.52,58.99,106.13,13.65,117.86,6.03,24.0,76.3,12.4,0,968945,2474,24.7,21,209,90,33,,,CPCB,Unverified
29,Bangalore,Karnataka,IT Hub,2023-07-31,2023,7,Monday,Monsoon,8443675,102.5,59.95,54.75,27.98,35.14,4.9,97.5,31.3,29.3,40.7,16.2,0,2364645,9653,9.0,9,360,150,105,,,Satellite,Verified
30,Hyderabad,Telangana,IT Hub,2022-09-03,2022,9,Saturday,Monsoon,6809970,105.0,31.59,71.43,56.49,20.13,2.89,111.9,35.45,30.8,30.8,14.6,28.5,1949421,10158,30.9,11,289,152,66,,,CPCB,Verified
31,Hyderabad,Telangana,IT Hub,2022-11-11,2022,11,Friday,Winter,6809970,119.6,57.24,99.25,155.86,53.11,10.21,59.53,20.72,26.6,84.7,4.5,3.1,2255474,10908,32.0,21,602,245,110,,,CPCB,Manual Entry
32,Coimbatore,Tamil Nadu,Industrial,2022-02-11,2022,2,Friday,Winter,1061447,185.9,84.73,125.86,56.84,111.68,9.55,125.85,48.48,23.1,39.9,13.2,0.2,220080,1186,35.4,4,81,48,17,,,Satellite,Manual Entry
33,Surat,Gujarat,Industrial,2022-04-29,2022,4,Friday,Summer,4467797,,,111.59,73.27,87.02,11.04,90.54,21.25,30.9,77.5,12.3,0,1381435,3598,32.9,6,380,257,81,,,State PCB,Unverified
34,Lucknow,Uttar Pradesh,Administrative,2023-07-19,2023,7,Wednesday,Monsoon,2815601,139.6,51.28,116.77,16.86,57.02,7.42,40.02,46.7,28.7,51.9,21.1,0,732837,3336,34.9,7,90,41,21,,,Satellite,Auto
35,Surat,Gujarat,Industrial,2023-06-04,2023,6,Sunday,Monsoon,4467797,897.1,46.18,60.86,67.4,50.86,6.68,105.79,43.4,19.3,67.6,7.0,27.1,1090704,8485,20.3,16,269,186,49,,,Ground Sensor,Auto
36,Varanasi,Uttar Pradesh,Tourist,2023-10-30,2023,10,Monday,Post-Monsoon,1198491,232.6,72.37,163.05,89.9,84.27,15.81,77.24,26.77,26.9,29.1,14.6,0,247178,1443,31.0,13,112,56,28,,,Ground Sensor,Manual Entry
37,Meerut,Uttar Pradesh,Industrial,2023-05-15,2023,5,Monday,Summer,1309023,190.3,106.89,97.88,19.28,57.57,15.24,149.67,37.59,24.7,63.7,3.9,0,334357,2017,16.7,14,98,40,26,,,State PCB,Auto
38,Coimbatore,Tamil Nadu,Industrial,2023-11-30,2023,11,Thursday,Winter,1061447,194.4,62.93,164.92,109.44,32.29,19.23,38.61,23.6,23.3,59.6,16.6,8.2,353680,1609,28.5,23,60,31,12,,,Satellite,Auto
39,Ranchi,Jharkhand,Industrial,2022-11-06,2022,11,Sunday,Winter,1073440,190.2,68.43,124.37,88.41,31.91,12.31,94.73,49.64,21.8,100,9.4,0,296492,1640,24.9,12,75,31,18,,,State PCB,Manual Entry
40,Ahmedabad,Gujarat,Industrial,2023-10-14,2023,10,Saturday,Post-Monsoon,5570585,174.4,91.86,140.75,101.87,18.31,2.29,101.57,2.93,33.7,61.3,10.5,0,1864122,5515,40.1,14,398,183,106,,,Satellite,Unverified
41,Jaipur,Rajasthan,Tourist,2023-05-09,2023,5,Tuesday,Summer,3046163,167.1,98.63,103.28,116.32,71.85,8.02,29.79,37.95,29.8,89.7,9.2,0,986276,4069,9.9,14,228,118,43,,,Satellite,Auto
42,Ghaziabad,Uttar Pradesh,Industrial,2023-10-16,2023,10,Monday,Post-Monsoon,1636068,185.4,68.63,94.56,128.72,56.53,16.53,48.78,4.1,26.6,79.6,0.2,0,333368,3140,40.5,7,120,65,19,,,Satellite,Auto
43,Coimbatore,Tamil Nadu,Industrial,2022-06-08,2022,6,Wednesday,Monsoon,1061447,137.5,77.78,104.78,76.28,38.38,10.59,56.37,34.82,29.8,81.2,12.5,19.2,368064,1115,16.0,6,81,48,12,,,Ground Sensor,Verified
44,Varanasi,Uttar Pradesh,Tourist,2022-08-06,2022,8,Saturday,Monsoon,1198491,62.5,19.15,50.92,27.59,10.83,6.51,28.92,38.49,19.6,63.7,16.0,14.1,245791,2218,10.2,11,17,11,2,,,CPCB,Verified
45,Bangalore,Karnataka,IT Hub,2022-01-16,2022,1,Sunday,Winter,8443675,131.8,53.71,107.47,104.68,8.66,6.09,36.48,21.63,30.2,64.7,6.6,2.2,2372024,9946,41.4,24,420,245,108,,,Ground Sensor,Verified
46,Delhi,Delhi,Urban,2023-05-06,2023,5,Saturday,Summer,16787941,179.6,59.7,140.98,64.67,79.69,5.69,39.28,7.18,21.1,41.2,6.4,0.1,4726755,15820,9.6,23,1046,553,281,,,State PCB,Auto
47,Indore,Madhya Pradesh,Commercial,2022-08-22,2022,8,Monday,Monsoon,1994397,58.2,24.7,48.4,40.4,44.79,3.77,60.63,13.49,39.7,51.2,9.4,6.1,387934,2289,7.4,20,72,36,12,,,CPCB,Auto
48,Kanpur,Uttar Pradesh,Industrial,2023-11-13,2023,11,Monday,Winter,2920496,257.3,147.87,133.94,58.29,39.81,2.8,85.96,8.58,25.0,21.5,13.3,0,582728,2680,35.7,22,225,118,52,,,CPCB,Manual Entry
49,Mumbai,Maharashtra,Industrial,2022-07-04,2022,7,Monday,Monsoon,12478447,140.0,53.48,112.71,83.53,23.5,2.35,38.62,33.21,39.9,73.9,14.6,3.8,3371452,13280,18.0,21,655,292,128,,,CPCB,Unverified
50,Hyderabad,Telangana,IT Hub,2023-09-25,2023,9,Monday,Monsoon,6809970,113.7,49.22,76.13,57.58,27.05,2.72,86.61,17.91,29.0,83.1,17.8,0,1582850,5657,42.8,7,372,154,67,,,Satellite,Manual Entry
51,Kolkata,West Bengal,Urban,2022-01-08,2022,1,Saturday,Winter,4496694,130.0,58.38,87.37,33.89,62.92,5.37,92.63,33.73,23.1,76.0,11.7,0,1160858,2773,30.6,12,198,104,41,,,CPCB,Manual Entry
52,Hyderabad,Telangana,IT Hub,2023-09-25,2023,9,Monday,Monsoon,6809970,36.4,14.86,24.54,16.23,28.26,4.73,30.22,43.66,31.0,59.6,7.8,6.1,1958875,8825,43.3,23,100,63,20,,,State PCB,Verified
53,Bangalore,Karnataka,IT Hub,2022-09-20,2022,9,Tuesday,Monsoon,8443675,81.3,29.21,60.26,70.22,40.62,2.3,120.47,25.21,28.4,26.2,0.9,15.7,2330146,12268,11.0,5,383,252,93,,,Satellite,Manual Entry
54,Coimbatore,Tamil Nadu,Industrial,2022-02-27,2022,2,Sunday,Winter,1061447,163.9,71.89,84.43,70.79,37.14,13.79,147.06,5.42,30.5,43.6,8.7,0,324395,596,29.2,19,76,43,13,,,CPCB,Auto
55,Kolkata,West Bengal,Urban,2022-12-18,2022,12,Sunday,Winter,4496694,89.5,53.24,47.78,113.5,11.11,15.06,148.83,26.68,22.1,47.9,17.2,0,1401435,6827,18.2,20,213,125,42,,,Satellite,Manual Entry
56,Amritsar,Punjab,Tourist,2023-11-04,2023,11,Saturday,Winter,1132761,284.0,98.02,151.27,116.2,103.26,7.0,105.29,33.44,25.6,81.7,-2.3,5.4,327814,1124,44.9,19,92,56,26,,,Satellite,Verified
57,Kanpur,Uttar Pradesh,Industrial,2022-11-13,2022,11,Sunday,Winter,2920496,232.0,82.15,135.88,159.94,58.06,5.3,37.88,4.78,30.1,52.3,13.5,0,964423,1625,20.1,8,261,164,44,,,State PCB,Auto
58,Delhi,Delhi,Urban,2023-02-25,2023,2,Saturday,Winter,16787941,101.2,59.8,75.32,129.87,89.3,5.45,51.09,48.31,37.6,69.3,0.7,3.1,4649777,19489,21.7,8,1605,1016,361,,,State PCB,Manual Entry
59,Delhi,Delhi,Urban,2023-10-19,2023,10,Thursday,Post-Monsoon,16787941,249.3,110.74,161.68,135.33,70.03,9.58,36.21,5.11,32.7,78.5,0.7,0.4,3283575,31322,21.6,15,2006,1334,580,,,State PCB,Auto
60,Chennai,Tamil Nadu,Coastal,2023-01-19,2023,1,Thursday,Winter,7088000,192.7,63.55,151.48,65.63,22.34,1.48,139.26,24.15,34.9,76.5,3.2,0,2367362,3746,29.4,16,319,141,92,,,Satellite,Unverified
61,Lucknow,Uttar Pradesh,Administrative,2022-05-05,2022,5,Thursday,Summer,2815601,159.1,50.02,106.29,107.06,43.21,2.32,137.67,30.24,,62.5,12.2,3.2,712264,4004,8.4,14,157,82,39,,,CPCB,Auto
62,Ranchi,Jharkhand,Industrial,2023-04-27,2023,4,Thursday,Summer,1073440,200.6,82.65,160.28,54.21,11.07,4.4,105.42,6.08,30.1,30.7,7.0,3.5,254998,1571,24.1,8,67,40,19,,,CPCB,Auto
63,Delhi,Delhi,Urban,2022-10-28,2022,10,Friday,Post-Monsoon,16787941,201.7,72.72,164.7,128.92,34.4,6.0,71.77,40.95,25.8,60.9,9.0,0,5482329,9597,22.5,15,1413,681,381,,,Ground Sensor,Manual Entry
64,Hyderabad,Telangana,IT Hub,2023-05-24,2023,5,Wednesday,Summer,6809970,122.4,65.99,74.25,21.0,40.52,7.42,149.36,9.84,20.8,57.5,14.7,0,1742029,10735,34.1,14,245,130,53,,,Ground Sensor,Manual Entry
65,Meerut,Uttar Pradesh,Industrial,2022-02-28,2022,2,Monday,Winter,1309023,238.9,77.05,180.37,69.95,91.12,14.49,143.86,8.0,17.1,38.2,14.2,1.3,408870,1373,32.2,14,90,51,21,,,CPCB,Unverified
65,Meerut,Uttar Pradesh,Industrial,2022-02-28,2022,2,Monday,Winter,1309023,238.9,77.05,180.37,69.95,91.12,14.49,143.86,8.0,17.1,38.2,14.2,1.3,408870,1373,32.2,14,90,51,21,,,CPCB,Unverified
66,Faridabad,Haryana,Industrial,2023-11-30,2023,11,Thursday,Winter,1394000,180.6,106.58,161.53,116.85,81.5,11.86,57.75,15.7,34.9,86.3,10.9,0,336586,1165,24.8,14,169,107,31,,,Satellite,Auto
67,Faridabad,Haryana,Industrial,2023-07-19,2023,7,Wednesday,Monsoon,1394000,156.2,49.95,103.0,66.65,30.67,4.84,73.23,29.17,40.1,72.3,15.7,20.0,373523,965,35.7,7,78,44,18,,,CPCB,Verified
68,Visakhapatnam,Andhra Pradesh,Coastal,2022-06-06,2022,6,Monday,Monsoon,1728128,118.3,46.27,66.79,84.62,16.43,10.68,87.46,14.92,32.7,66.3,16.6,1.7,494683,2456,28.2,8,69,40,16,,,Satellite,Verified
69,Ghaziabad,Uttar Pradesh,Industrial,2022-01-30,2022,1,Sunday,Winter,1636068,345.7,183.66,209.43,46.46,67.07,13.25,23.94,44.56,37.5,32.5,9.6,0.0,519041,1814,21.6,17,169,102,29,,,State PCB,Manual Entry
70,Ranchi,Jharkhand,Industrial,2022-11-23,2022,11,Wednesday,Winter,1073440,236.6,123.12,199.8,164.21,20.73,8.22,93.01,16.64,21.8,63.3,12.0,2.8,246178,1155,11.4,13,122,57,34,,,Satellite,Unverified
71,Ludhiana,Punjab,Industrial,2022-06-13,2022,6,Monday,Monsoon,1618879,47.9,21.54,29.86,9.41,56.92,5.87,145.67,11.54,28.1,56.1,13.5,0,471456,1952,40.3,14,39,25,8,,,Satellite,Verified
72,Nagpur,Maharashtra,Commercial,2022-02-22,2022,2,Tuesday,Winter,2405665,187.1,88.14,108.12,99.2,14.72,10.94,119.37,14.71,40.1,57.9,24.0,8.4,594111,4071,13.0,19,158,107,41,,,CPCB,Verified
72,Nagpur,Maharashtra,Commercial,2022-02-22,2022,2,Tuesday,Winter,2405665,187.1,88.14,108.12,99.2,14.72,10.94,119.37,14.71,40.1,57.9,24.0,8.4,594111,4071,13.0,19,158,107,41,,,CPCB,Verified
73,Coimbatore,Tamil Nadu,Industrial,2022-11-12,2022,11,Saturday,Winter,1061447,131.1,70.67,103.59,119.96,9.8,10.33,145.72,39.36,29.7,34.1,10.6,0,221828,1532,32.2,4,78,50,13,,,CPCB,Unverified
74,Mumbai,Maharashtra,Industrial,2023-03-28,2023,3,Tuesday,Summer,12478447,129.5,65.67,86.0,104.77,81.44,14.47,115.66,4.05,32.2,68.8,15.1,0,3360834,12111,19.2,24,818,551,164,,,Satellite,Auto
75,Pune,Maharashtra,Industrial,2022-09-10,2022,9,Saturday,Monsoon,3124458,151.6,58.19,93.93,85.17,59.0,8.76,111.64,34.82,18.9,61.6,1.0,0,945720,2911,20.8,14,205,115,58,,,State PCB,Manual Entry
76,Delhi,Delhi,Urban,2022-10-22,2022,10,Saturday,Post-Monsoon,16787941,181.7,104.9,138.55,110.65,25.26,15.01,55.25,28.54,27.1,58.7,14.9,0.8,3166711,31188,18.2,18,1229,577,202,,,State PCB,Verified
77,Vadodara,Gujarat,Industrial,2022-06-11,2022,6,Saturday,Monsoon,1670806,67.0,28.3,58.6,79.97,30.61,2.54,145.31,16.74,17.4,25.3,18.6,15.4,452748,2647,40.3,8,87,58,15,,,CPCB,Auto
78,Faridabad,Haryana,Industrial,2023-05-23,2023,5,Tuesday,Summer,1394000,182.2,102.33,112.19,15.53,30.12,10.16,140.7,17.42,40.3,32.5,14.4,0,282722,1751,34.2,23,67,43,13,,,State PCB,Verified
79,Amritsar,Punjab,Tourist,2022-12-12,2022,12,Monday,Winter,1132761,157.4,84.57,114.46,130.62,25.43,18.08,136.62,41.52,24.6,59.2,10.1,0,230974,1116,35.2,13,81,38,15,,,CPCB,Manual Entry
80,Meerut,Uttar Pradesh,Industrial,2023-01-04,2023,1,Wednesday,Winter,1309023,172.3,57.8,107.29,76.43,59.76,18.87,111.46,16.24,25.3,93.0,21.0,0,284387,916,21.6,20,66,41,15,,,State PCB,Unverified
81,Varanasi,Uttar Pradesh,Tourist,2023-09-03,2023,9,Sunday,Monsoon,1198491,152.2,85.53,81.08,44.36,43.34,1.22,93.34,4.03,18.9,53.0,8.9,1.2,282580,1534,8.6,19,57,26,13,,,CPCB,Auto
82,Bangalore,Karnataka,IT Hub,2023-06-10,2023,6,Saturday,Monsoon,8443675,51.7,24.17,39.75,32.92,4.97,3.14,20.39,11.68,33.2,78.8,14.8,0,1606353,15547,12.2,7,224,121,43,,,Ground Sensor,Manual Entry
83,Jodhpur,Rajasthan,Tourist,2023-01-27,2023,1,Friday,Winter,1137815,90.5,39.34,78.46,72.13,15.43,20.27,133.69,7.52,30.6,52.3,18.0,0.8,229439,2239,23.5,20,56,35,16,,,Ground Sensor,Unverified
84,Ahmedabad,Gujarat,Industrial,2023-04-17,2023,4,Monday,Summer,5570585,115.4,67.07,91.17,24.65,72.28,7.24,119.59,44.3,33.3,73.5,12.4,1.8,1568807,8661,14.4,9,223,138,46,,,CPCB,Unverified
85,Visakhapatnam,Andhra Pradesh,Coastal,2022-10-24,2022,10,Monday,Post-Monsoon,1728128,166.2,61.54,144.04,88.05,57.97,14.04,126.39,12.61,44.6,19.1,5.9,0.4,391898,2307,32.2,20,118,73,20,,,Satellite,Auto
86,Faridabad,Haryana,Industrial,2023-06-22,2023,6,Thursday,Monsoon,1394000,79.6,27.44,51.78,69.74,30.39,9.61,59.1,35.67,35.5,75.2,-2.1,0,382985,977,41.9,14,48,22,11,,,State PCB,Verified
87,Jaipur,Rajasthan,Tourist,2023-01-22,2023,1,Sunday,Winter,3046163,104.9,52.67,77.75,148.54,26.76,16.16,114.16,28.38,12.0,65.2,4.5,9.7,556249,5805,24.2,10,276,120,82,,,State PCB,Auto
88,Srinagar,Jammu & Kashmir,Tourist,2022-09-03,2022,9,Saturday,Monsoon,1180570,30.0,12.42,21.39,37.14,18.46,5.95,84.65,5.83,23.6,82.4,11.2,22.8,286901,1323,15.4,21,25,11,4,,,Ground Sensor,Manual Entry
88,Srinagar,Jammu & Kashmir,Tourist,2022-09-03,2022,9,Saturday,Monsoon,1180570,30.0,12.42,21.39,37.14,18.46,5.95,84.65,5.83,23.6,82.4,11.2,22.8,286901,1323,15.4,21,25,11,4,,,Ground Sensor,Manual Entry
89,Delhi,Delhi,Urban,2023-06-21,2023,6,Wednesday,Monsoon,16787941,,,134.73,70.56,26.95,9.54,50.09,35.65,31.3,83.7,12.4,0,4924714,23919,27.1,3,1181,645,178,,,Satellite,Manual Entry
90,Mumbai,Maharashtra,Industrial,2023-05-30,2023,5,Tuesday,Summer,12478447,203.0,110.42,156.23,108.55,80.56,2.26,32.52,8.3,31.5,82.8,13.9,0,3088071,13221,14.0,24,1162,661,346,,,CPCB,Verified
91,Chennai,Tamil Nadu,Coastal,2023-02-20,2023,2,Monday,Winter,7088000,111.1,35.2,55.97,40.39,59.49,9.51,121.97,28.73,35.0,65.6,9.9,0,1530589,12773,8.0,11,335,181,52,,,CPCB,Unverified
92,Srinagar,Jammu & Kashmir,Tourist,2022-11-19,2022,11,Saturday,Winter,1180570,774.4,54.24,103.75,36.21,93.17,17.36,140.75,15.66,,49.9,17.3,0,320991,1270,8.1,14,70,44,17,,,CPCB,Manual Entry
93,Agra,Uttar Pradesh,Tourist,2023-09-21,2023,9,Thursday,Monsoon,1585704,137.3,73.06,70.28,30.05,59.58,5.71,66.26,47.12,25.7,32.5,15.8,1.6,452186,2691,33.5,23,91,38,15,,,Ground Sensor,Manual Entry
94,Kanpur,Uttar Pradesh,Industrial,2022-04-20,2022,4,Wednesday,Summer,2920496,121.3,39.73,106.42,64.81,68.31,2.18,31.35,22.12,19.0,51.6,14.1,2.0,800850,4075,21.6,5,170,112,25,,,State PCB,Unverified
95,Varanasi,Uttar Pradesh,Tourist,2023-01-25,2023,1,Wednesday,Winter,1198491,211.5,80.49,118.11,39.75,35.98,6.78,121.75,18.7,33.5,90.0,8.7,0,309014,842,20.2,13,49,25,13,,,Ground Sensor,Unverified
96,Lucknow,Uttar Pradesh,Administrative,2022-11-25,2022,11,Friday,Winter,2815601,184.8,88.89,143.81,87.77,25.65,8.78,61.49,37.01,13.9,21.1,13.1,0,640974,4726,44.9,8,185,125,33,,,CPCB,Auto
97,Rajkot,Gujarat,Industrial,2022-08-03,2022,8,Wednesday,Monsoon,1286995,,33.41,54.45,73.14,26.76,5.8,102.33,12.86,30.5,42.8,4.0,6.4,448413,1568,32.7,20,52,28,14,,,Satellite,Verified
98,Kolkata,West Bengal,Urban,2022-09-12,2022,9,Monday,Monsoon,4496694,81.8,40.68,52.52,60.88,6.24,11.07,108.07,20.58,28.4,10,11.2,5.9,1007194,5692,22.8,15,170,97,40,,,State PCB,Manual Entry
99,Mumbai,Maharashtra,Industrial,2023-05-10,2023,5,Wednesday,Summer,12478447,192.7,113.4,105.29,124.82,17.19,5.52,79.19,11.14,33.1,37.4,12.7,0,2922634,11859,30.9,24,1296,563,359,,,State PCB,Unverified
100,Vadodara,Gujarat,Industrial,2022-06-13,2022,6,Monday,Monsoon,1670806,121.6,48.57,81.57,45.62,48.62,7.22,44.23,33.21,17.6,80.0,16.9,0,422753,846,36.8,21,64,30,16,,,State PCB,Manual Entry
101,Surat,Gujarat,Industrial,2022-07-21,2022,7,Thursday,Monsoon,4467797,66.5,37.14,47.26,60.23,37.33,7.02,96.31,18.05,29.6,75.7,5.1,14.2,1030120,6351,17.2,8,152,66,25,,,State PCB,Auto
102,Patna,Bihar,Administrative,2023-09-03,2023,9,Sunday,Monsoon,1684222,38.1,12.99,24.87,22.82,39.5,7.92,103.88,50.0,19.3,52.2,15.3,15.1,432289,977,37.6,20,32,12,5,,,Ground Sensor,Auto
103,Varanasi,Uttar Pradesh,Tourist,2023-05-19,2023,5,Friday,Summer,1198491,43.1,19.24,22.97,14.73,68.29,5.21,55.73,27.34,35.7,70.9,17.8,0.7,327731,802,19.7,4,26,16,7,,,Ground Sensor,Unverified
104,Patna,Bihar,Administrative,2022-04-15,2022,4,Friday,Summer,1684222,40.0,20.84,30.47,40.95,77.67,1.06,54.17,43.25,41.7,80.8,20.1,5.9,363251,2705,22.1,22,69,45,16,,,State PCB,Unverified
105,Faridabad,Haryana,Industrial,2022-03-02,2022,3,Wednesday,Summer,1394000,75.5,36.18,42.85,129.46,29.64,9.69,143.81,26.21,23.8,89.8,5.5,5.4,348460,820,10.3,7,77,45,19,,,State PCB,Auto
106,Bhopal,Madhya Pradesh,Administrative,2022-05-26,2022,5,Thursday,Summer,1795648,218.8,103.55,132.93,61.12,42.79,10.66,134.42,5.56,21.6,58.4,17.3,0,613291,1779,34.2,17,98,61,25,,,Satellite,Verified
